
Processing CalculateEfficincy.C...
Particle        :   Eff1  /   Eff2  /   Eff3  /  Ghost  / BackGr  / N Ghost / N BackGr / N Reco  / N Clone  |  N MC1  |  N MC2  |  N MC3 
KShort          :  0.528  / -1.000  /  0.754  /  0.003  /  0.031  /      5  /      54  /   1690  /       0  |   3202  |      0  |   2241
KShort    Prim  :  0.540  / -1.000  /  0.732  /  0.000  /  0.000  /      0  /       0  /    494  /       0  |    914  |      0  |    675
KShort    Sec   :  0.523  / -1.000  /  0.764  /  0.000  /  0.000  /      0  /       0  /   1196  /       0  |   2288  |      0  |   1566
Lambda          :  0.485  / -1.000  /  0.758  /  0.075  /  0.169  /    357  /     807  /   3611  /       3  |   7451  |      0  |   4763
Lambda    Prim  :  0.501  / -1.000  /  0.708  /  0.000  /  0.000  /      0  /       0  /    398  /       0  |    795  |      0  |    562
Lambda    Sec   :  0.483  / -1.000  /  0.765  /  0.000  /  0.000  /      0  /       0  /   3213  /       3  |   6656  |      0  |   4201
Lambda b        :  0.498  / -1.000  /  0.758  /  0.066  /  0.127  /    248  /     476  /   3033  /       0  |   6091  |      0  |   3999
Lambda b  Prim  :  0.524  / -1.000  /  0.718  /  0.000  /  0.000  /      0  /       0  /    421  /       0  |    803  |      0  |    586
Lambda b  Sec   :  0.494  / -1.000  /  0.765  /  0.000  /  0.000  /      0  /       0  /   2612  /       0  |   5288  |      0  |   3413
Xi-             :  0.281  / -1.000  /  0.572  /  0.008  /  0.019  /      4  /      10  /    502  /       0  |   1785  |      0  |    877
Xi-       Prim  :  0.329  / -1.000  /  0.606  /  0.000  /  0.000  /      0  /       0  /    143  /       0  |    434  |      0  |    236
Xi-       Sec   :  0.266  / -1.000  /  0.560  /  0.000  /  0.000  /      0  /       0  /    359  /       0  |   1351  |      0  |    641
Xi+             :  0.284  / -1.000  /  0.567  /  0.000  /  0.004  /      0  /       2  /    509  /       0  |   1790  |      0  |    898
Xi+       Prim  :  0.299  / -1.000  /  0.572  /  0.000  /  0.000  /      0  /       0  /    143  /       0  |    479  |      0  |    250
Xi+       Sec   :  0.279  / -1.000  /  0.565  /  0.000  /  0.000  /      0  /       0  /    366  /       0  |   1311  |      0  |    648
Xi0             :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      1  |      0  |      0
Xi0       Prim  :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      1  |      0  |      0
Xi0       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi0 b           :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      1  |      0  |      0
Xi0 b     Prim  :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      1  |      0  |      0
Xi0 b     Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Omega-          :  0.239  / -1.000  /  0.450  /  0.000  /  0.000  /      0  /       0  /    104  /       0  |    436  |      0  |    231
Omega-    Prim  :  0.239  / -1.000  /  0.450  /  0.000  /  0.000  /      0  /       0  /    104  /       0  |    436  |      0  |    231
Omega-    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Omega+          :  0.277  / -1.000  /  0.490  /  0.000  /  0.000  /      0  /       0  /    129  /       0  |    466  |      0  |    263
Omega+    Prim  :  0.277  / -1.000  /  0.490  /  0.000  /  0.000  /      0  /       0  /    129  /       0  |    466  |      0  |    263
Omega+    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
