iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
309,6,4,2,0,0,66661
810,6,4,2,0,1,197733
1143,6,4,2,0,2,328805
1397,6,4,2,0,3,459877
1530,6,4,2,0,4,590949
1648,6,4,2,0,5,722021
1764,6,4,2,0,6,853093
1880,6,4,2,0,7,984165
2510,6,4,2,1,0,16843877
3094,6,4,2,1,1,16974949
3479,6,4,2,1,2,17106021
3772,6,4,2,1,3,17237093
3928,6,4,2,1,4,17368165
4061,6,4,2,1,5,17499237
4192,6,4,2,1,6,17630309
4324,6,4,2,1,7,17761381
5051,6,4,2,2,0,33621093
5708,6,4,2,2,1,33752165
6136,6,4,2,2,2,33883237
6450,6,4,2,2,3,34014309
6614,6,4,2,2,4,34145381
6756,6,4,2,2,5,34276453
6898,6,4,2,2,6,34407525
7045,6,4,2,2,7,34538597
7849,6,4,2,3,0,50398309
8565,6,4,2,3,1,50529381
9031,6,4,2,3,2,50660453
9377,6,4,2,3,3,50791525
9558,6,4,2,3,4,50922597
9711,6,4,2,3,5,51053669
9863,6,4,2,3,6,51184741
10018,6,4,2,3,7,51315813
10834,6,4,2,4,0,67175525
11536,6,4,2,4,1,67306597
11993,6,4,2,4,2,67437669
12334,6,4,2,4,3,67568741
12519,6,4,2,4,4,67699813
12668,6,4,2,4,5,67830885
12816,6,4,2,4,6,67961957
12967,6,4,2,4,7,68093029
13733,6,4,2,5,0,83952741
14404,6,4,2,5,1,84083813
14848,6,4,2,5,2,84214885
15176,6,4,2,5,3,84345957
15352,6,4,2,5,4,84477029
15498,6,4,2,5,5,84608101
15646,6,4,2,5,6,84739173
15797,6,4,2,5,7,84870245
16561,6,4,2,6,0,100729957
17219,6,4,2,6,1,100861029
17651,6,4,2,6,2,100992101
17977,6,4,2,6,3,101123173
18150,6,4,2,6,4,101254245
18289,6,4,2,6,5,101385317
18433,6,4,2,6,6,101516389
18579,6,4,2,6,7,101647461
19365,6,4,2,7,0,117507173
20041,6,4,2,7,1,117638245
20491,6,4,2,7,2,117769317
20829,6,4,2,7,3,117900389
21005,6,4,2,7,4,118031461
21152,6,4,2,7,5,118162533
21304,6,4,2,7,6,118293605
21457,6,4,2,7,7,118424677
23940,6,4,2,8,4,134808677
24084,6,4,2,8,5,134939749
24233,6,4,2,8,6,135070821
24382,6,4,2,8,7,135201893
26928,6,4,2,9,4,151585893
27082,6,4,2,9,5,151716965
27238,6,4,2,9,6,151848037
27396,6,4,2,9,7,151979109
50329,6,4,0,17,1,285344869
51045,6,4,0,17,2,285475941
51400,6,4,0,17,3,285607013
51752,6,4,0,17,4,285738085
52645,6,4,0,18,0,301991013
53391,6,4,0,18,1,302122085
54131,6,4,0,18,2,302253157
54484,6,4,0,18,3,302384229
54840,6,4,0,18,4,302515301
55746,6,4,0,19,0,318768229
56476,6,4,0,19,1,318899301
56970,6,4,2,19,1,318964837
57475,6,4,2,19,2,319095909
57839,6,4,2,19,3,319226981
58019,6,4,2,19,4,319358053
58164,6,4,2,19,5,319489125
58313,6,4,2,19,6,319620197
58462,6,4,2,19,7,319751269
59565,6,4,0,20,1,335676517
