iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
19013,3,1,1,6,4,101220661
19170,3,1,1,6,5,101351733
19330,3,1,1,6,6,101482805
19500,3,1,1,6,7,101613877
19641,3,1,1,6,8,101744949
19769,3,1,1,6,9,101876021
19881,3,1,1,6,10,102007093
22086,3,1,1,7,4,117997877
22244,3,1,1,7,5,118128949
22402,3,1,1,7,6,118260021
22569,3,1,1,7,7,118391093
22711,3,1,1,7,8,118522165
22842,3,1,1,7,9,118653237
22957,3,1,1,7,10,118784309
25084,3,1,1,8,4,134775093
25245,3,1,1,8,5,134906165
25407,3,1,1,8,6,135037237
25567,3,1,1,8,7,135168309
25712,3,1,1,8,8,135299381
25841,3,1,1,8,9,135430453
25951,3,1,1,8,10,135561525
27757,3,1,1,9,3,151421237
28069,3,1,1,9,4,151552309
28231,3,1,1,9,5,151683381
28397,3,1,1,9,6,151814453
28562,3,1,1,9,7,151945525
28708,3,1,1,9,8,152076597
28839,3,1,1,9,9,152207669
28948,3,1,1,9,10,152338741
29017,3,1,1,9,11,152469813
30768,3,1,1,10,3,168198453
31078,3,1,1,10,4,168329525
31237,3,1,1,10,5,168460597
31397,3,1,1,10,6,168591669
31556,3,1,1,10,7,168722741
31695,3,1,1,10,8,168853813
31824,3,1,1,10,9,168984885
31931,3,1,1,10,10,169115957
31996,3,1,1,10,11,169247029
33775,3,1,1,11,3,184975669
34096,3,1,1,11,4,185106741
34253,3,1,1,11,5,185237813
34408,3,1,1,11,6,185368885
34565,3,1,1,11,7,185499957
34705,3,1,1,11,8,185631029
34830,3,1,1,11,9,185762101
34939,3,1,1,11,10,185893173
35008,3,1,1,11,11,186024245
36860,3,1,1,12,3,201752885
37187,3,1,1,12,4,201883957
37344,3,1,1,12,5,202015029
37501,3,1,1,12,6,202146101
37655,3,1,1,12,7,202277173
37791,3,1,1,12,8,202408245
37917,3,1,1,12,9,202539317
38022,3,1,1,12,10,202670389
38089,3,1,1,12,11,202801461
39945,3,1,1,13,3,218530101
40266,3,1,1,13,4,218661173
40422,3,1,1,13,5,218792245
40580,3,1,1,13,6,218923317
40740,3,1,1,13,7,219054389
40886,3,1,1,13,8,219185461
41015,3,1,1,13,9,219316533
41127,3,1,1,13,10,219447605
41200,3,1,1,13,11,219578677
43089,3,1,1,14,3,235307317
43427,3,1,1,14,4,235438389
43589,3,1,1,14,5,235569461
43751,3,1,1,14,6,235700533
43918,3,1,1,14,7,235831605
44068,3,1,1,14,8,235962677
44197,3,1,1,14,9,236093749
44309,3,1,1,14,10,236224821
44383,3,1,1,14,11,236355893
46228,3,1,1,15,3,252084533
46570,3,1,1,15,4,252215605
46732,3,1,1,15,5,252346677
46889,3,1,1,15,6,252477749
47048,3,1,1,15,7,252608821
47192,3,1,1,15,8,252739893
47315,3,1,1,15,9,252870965
47424,3,1,1,15,10,253002037
47499,3,1,1,15,11,253133109
49856,3,1,1,16,5,269123893
50011,3,1,1,16,6,269254965
50169,3,1,1,16,7,269386037
50308,3,1,1,16,8,269517109
50425,3,1,1,16,9,269648181
50528,3,1,1,16,10,269779253
50603,3,1,1,16,11,269910325
59101,3,1,1,19,5,319455541
59264,3,1,1,19,6,319586613
59423,3,1,1,19,7,319717685
59567,3,1,1,19,8,319848757
59686,3,1,1,19,9,319979829
59792,3,1,1,19,10,320110901
59870,3,1,1,19,11,320241973
62199,3,1,1,20,5,336232757
62359,3,1,1,20,6,336363829
62516,3,1,1,20,7,336494901
62654,3,1,1,20,8,336625973
62772,3,1,1,20,9,336757045
62880,3,1,1,20,10,336888117
62956,3,1,1,20,11,337019189
65239,3,1,1,21,5,353009973
65396,3,1,1,21,6,353141045
65549,3,1,1,21,7,353272117
65688,3,1,1,21,8,353403189
65811,3,1,1,21,9,353534261
65920,3,1,1,21,10,353665333
65996,3,1,1,21,11,353796405
68247,3,1,1,22,5,369787189
68398,3,1,1,22,6,369918261
68549,3,1,1,22,7,370049333
68685,3,1,1,22,8,370180405
68807,3,1,1,22,9,370311477
68917,3,1,1,22,10,370442549
68996,3,1,1,22,11,370573621
71238,3,1,1,23,5,386564405
71384,3,1,1,23,6,386695477
71538,3,1,1,23,7,386826549
71677,3,1,1,23,8,386957621
71798,3,1,1,23,9,387088693
71906,3,1,1,23,10,387219765
71981,3,1,1,23,11,387350837
74209,3,1,1,24,5,403341621
74358,3,1,1,24,6,403472693
74512,3,1,1,24,7,403603765
74647,3,1,1,24,8,403734837
74761,3,1,1,24,9,403865909
74861,3,1,1,24,10,403996981
74932,3,1,1,24,11,404128053
77174,3,1,1,25,5,420118837
77320,3,1,1,25,6,420249909
77473,3,1,1,25,7,420380981
