iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
17988,3,1,1,6,2,100958517
18365,3,1,1,6,3,101089589
18694,3,1,1,6,4,101220661
18864,3,1,1,6,5,101351733
19025,3,1,1,6,6,101482805
19187,3,1,1,6,7,101613877
19321,3,1,1,6,8,101744949
21003,3,1,1,7,2,117735733
21382,3,1,1,7,3,117866805
21707,3,1,1,7,4,117997877
21872,3,1,1,7,5,118128949
22034,3,1,1,7,6,118260021
22201,3,1,1,7,7,118391093
22341,3,1,1,7,8,118522165
24056,3,1,1,8,2,134512949
24435,3,1,1,8,3,134644021
24760,3,1,1,8,4,134775093
24923,3,1,1,8,5,134906165
25082,3,1,1,8,6,135037237
25249,3,1,1,8,7,135168309
25390,3,1,1,8,8,135299381
27093,3,1,1,9,2,151290165
27464,3,1,1,9,3,151421237
27787,3,1,1,9,4,151552309
27956,3,1,1,9,5,151683381
28125,3,1,1,9,6,151814453
28291,3,1,1,9,7,151945525
28433,3,1,1,9,8,152076597
30183,3,1,1,10,2,168067381
30557,3,1,1,10,3,168198453
30884,3,1,1,10,4,168329525
31045,3,1,1,10,5,168460597
31208,3,1,1,10,6,168591669
31366,3,1,1,10,7,168722741
31503,3,1,1,10,8,168853813
33257,3,1,1,11,2,184844597
33632,3,1,1,11,3,184975669
33962,3,1,1,11,4,185106741
34131,3,1,1,11,5,185237813
34302,3,1,1,11,6,185368885
34468,3,1,1,11,7,185499957
34612,3,1,1,11,8,185631029
36362,3,1,1,12,2,201621813
36748,3,1,1,12,3,201752885
37085,3,1,1,12,4,201883957
37260,3,1,1,12,5,202015029
37436,3,1,1,12,6,202146101
37609,3,1,1,12,7,202277173
37761,3,1,1,12,8,202408245
46796,3,1,1,15,6,252477749
46966,3,1,1,15,7,252608821
47120,3,1,1,15,8,252739893
47247,3,1,1,15,9,252870965
47356,3,1,1,15,10,253002037
47426,3,1,1,15,11,253133109
49867,3,1,1,16,6,269254965
50031,3,1,1,16,7,269386037
50175,3,1,1,16,8,269517109
50294,3,1,1,16,9,269648181
50396,3,1,1,16,10,269779253
50464,3,1,1,16,11,269910325
52918,3,1,1,17,6,286032181
53086,3,1,1,17,7,286163253
53227,3,1,1,17,8,286294325
53343,3,1,1,17,9,286425397
53446,3,1,1,17,10,286556469
53515,3,1,1,17,11,286687541
55890,3,1,1,18,6,302809397
56052,3,1,1,18,7,302940469
56192,3,1,1,18,8,303071541
56308,3,1,1,18,9,303202613
56414,3,1,1,18,10,303333685
56486,3,1,1,18,11,303464757
58796,3,1,1,19,6,319586613
58957,3,1,1,19,7,319717685
59095,3,1,1,19,8,319848757
59210,3,1,1,19,9,319979829
59311,3,1,1,19,10,320110901
59383,3,1,1,19,11,320241973
61663,3,1,1,20,6,336363829
61820,3,1,1,20,7,336494901
61956,3,1,1,20,8,336625973
62069,3,1,1,20,9,336757045
62170,3,1,1,20,10,336888117
62239,3,1,1,20,11,337019189
64587,3,1,1,21,6,353141045
64742,3,1,1,21,7,353272117
64878,3,1,1,21,8,353403189
64996,3,1,1,21,9,353534261
65099,3,1,1,21,10,353665333
65168,3,1,1,21,11,353796405
70969,3,1,1,23,9,387088693
71076,3,1,1,23,10,387219765
71146,3,1,1,23,11,387350837
71347,3,1,1,24,0,402686261
72006,3,1,1,24,1,402817333
72538,3,1,1,24,2,402948405
72905,3,1,1,24,3,403079477
73234,3,1,1,24,4,403210549
74029,3,1,1,24,9,403865909
74147,3,1,1,24,10,403996981
74218,3,1,1,24,11,404128053
74423,3,1,1,25,0,419463477
75106,3,1,1,25,1,419594549
75652,3,1,1,25,2,419725621
76026,3,1,1,25,3,419856693
76362,3,1,1,25,4,419987765
77192,3,1,1,25,9,420643125
77317,3,1,1,25,10,420774197
77398,3,1,1,25,11,420905269
77603,3,1,1,26,0,436240693
78266,3,1,1,26,1,436371765
78796,3,1,1,26,2,436502837
79168,3,1,1,26,3,436633909
79509,3,1,1,26,4,436764981
80338,3,1,1,26,9,437420341
80465,3,1,1,26,10,437551413
80550,3,1,1,26,11,437682485
80762,3,1,1,27,0,453017909
81456,3,1,1,27,1,453148981
82007,3,1,1,27,2,453280053
82384,3,1,1,27,3,453411125
82738,3,1,1,27,4,453542197
83554,3,1,1,27,9,454197557
83679,3,1,1,27,10,454328629
83769,3,1,1,27,11,454459701
83981,3,1,1,28,0,469795125
84672,3,1,1,28,1,469926197
85222,3,1,1,28,2,470057269
85584,3,1,1,28,3,470188341
85925,3,1,1,28,4,470319413
86743,3,1,1,28,9,470974773
86868,3,1,1,28,10,471105845
86957,3,1,1,28,11,471236917
87164,3,1,1,29,0,486572341
87857,3,1,1,29,1,486703413
88403,3,1,1,29,2,486834485
88772,3,1,1,29,3,486965557
89112,3,1,1,29,4,487096629
89917,3,1,1,29,9,487751989
90036,3,1,1,29,10,487883061
90120,3,1,1,29,11,488014133
90319,3,1,1,30,0,503349557
90998,3,1,1,30,1,503480629
91544,3,1,1,30,2,503611701
91921,3,1,1,30,3,503742773
92263,3,1,1,30,4,503873845
93088,3,1,1,30,9,504529205
93210,3,1,1,30,10,504660277
93298,3,1,1,30,11,504791349
96366,3,1,1,31,10,521437493
96455,3,1,1,31,11,521568565
99500,3,1,1,32,10,538214709
99580,3,1,1,32,11,538345781
102567,3,1,1,33,10,554991925
102647,3,1,1,33,11,555122997
102859,3,1,1,34,0,570458421
105576,3,1,1,34,10,571769141
105656,3,1,1,34,11,571900213
105867,3,1,1,35,0,587235637
108881,3,1,1,36,0,604012853
109535,3,1,1,36,1,604143925
110067,3,1,1,36,2,604274997
110423,3,1,1,36,3,604406069
110728,3,1,1,36,4,604537141
110893,3,1,1,36,5,604668213
111909,3,1,1,37,0,620790069
112558,3,1,1,37,1,620921141
113075,3,1,1,37,2,621052213
113421,3,1,1,37,3,621183285
113722,3,1,1,37,4,621314357
113886,3,1,1,37,5,621445429
114933,3,1,1,38,0,637567285
115609,3,1,1,38,1,637698357
116140,3,1,1,38,2,637829429
116484,3,1,1,38,3,637960501
116782,3,1,1,38,4,638091573
116950,3,1,1,38,5,638222645
117987,3,1,1,39,0,654344501
118669,3,1,1,39,1,654475573
119211,3,1,1,39,2,654606645
119573,3,1,1,39,3,654737717
119887,3,1,1,39,4,654868789
120052,3,1,1,39,5,654999861
121078,3,1,1,40,0,671121717
121764,3,1,1,40,1,671252789
122315,3,1,1,40,2,671383861
122685,3,1,1,40,3,671514933
123001,3,1,1,40,4,671646005
123172,3,1,1,40,5,671777077
124189,3,1,1,41,0,687898933
124857,3,1,1,41,1,688030005
125391,3,1,1,41,2,688161077
125759,3,1,1,41,3,688292149
126081,3,1,1,41,4,688423221
126257,3,1,1,41,5,688554293
127255,3,1,1,42,0,704676149
127929,3,1,1,42,1,704807221
128467,3,1,1,42,2,704938293
128824,3,1,1,42,3,705069365
129140,3,1,1,42,4,705200437
129310,3,1,1,42,5,705331509
167743,3,1,1,56,0,939557173
168342,3,1,1,56,1,939688245
168827,3,1,1,56,2,939819317
169158,3,1,1,56,3,939950389
169455,3,1,1,56,4,940081461
170583,3,1,1,57,0,956334389
171192,3,1,1,57,1,956465461
171696,3,1,1,57,2,956596533
172034,3,1,1,57,3,956727605
172332,3,1,1,57,4,956858677
173489,3,1,1,58,0,973111605
174110,3,1,1,58,1,973242677
174616,3,1,1,58,2,973373749
174955,3,1,1,58,3,973504821
175255,3,1,1,58,4,973635893
176417,3,1,1,59,0,989888821
177070,3,1,1,59,1,990019893
177601,3,1,1,59,2,990150965
177955,3,1,1,59,3,990282037
178255,3,1,1,59,4,990413109
178576,3,1,1,59,6,990675253
178738,3,1,1,59,7,990806325
178885,3,1,1,59,8,990937397
179020,3,1,1,59,9,991068469
179136,3,1,1,59,10,991199541
179215,3,1,1,59,11,991330613
179421,3,1,1,60,0,1006666037
180094,3,1,1,60,1,1006797109
180639,3,1,1,60,2,1006928181
181000,3,1,1,60,3,1007059253
181309,3,1,1,60,4,1007190325
181638,3,1,1,60,6,1007452469
181797,3,1,1,60,7,1007583541
181941,3,1,1,60,8,1007714613
182073,3,1,1,60,9,1007845685
182184,3,1,1,60,10,1007976757
182254,3,1,1,60,11,1008107829
182455,3,1,1,61,0,1023443253
183123,3,1,1,61,1,1023574325
183658,3,1,1,61,2,1023705397
184008,3,1,1,61,3,1023836469
184309,3,1,1,61,4,1023967541
184617,3,1,1,61,6,1024229685
184767,3,1,1,61,7,1024360757
184907,3,1,1,61,8,1024491829
185035,3,1,1,61,9,1024622901
185147,3,1,1,61,10,1024753973
185218,3,1,1,61,11,1024885045
185418,3,1,1,62,0,1040220469
186081,3,1,1,62,1,1040351541
186604,3,1,1,62,2,1040482613
186943,3,1,1,62,3,1040613685
187244,3,1,1,62,4,1040744757
187540,3,1,1,62,6,1041006901
187682,3,1,1,62,7,1041137973
187815,3,1,1,62,8,1041269045
187940,3,1,1,62,9,1041400117
188051,3,1,1,62,10,1041531189
188117,3,1,1,62,11,1041662261
188309,3,1,1,63,0,1056997685
188979,3,1,1,63,1,1057128757
189518,3,1,1,63,2,1057259829
189867,3,1,1,63,3,1057390901
190172,3,1,1,63,4,1057521973
190480,3,1,1,63,6,1057784117
190627,3,1,1,63,7,1057915189
190764,3,1,1,63,8,1058046261
190886,3,1,1,63,9,1058177333
190992,3,1,1,63,10,1058308405
191056,3,1,1,63,11,1058439477
193421,3,1,1,64,6,1074561333
193575,3,1,1,64,7,1074692405
193715,3,1,1,64,8,1074823477
193840,3,1,1,64,9,1074954549
193951,3,1,1,64,10,1075085621
194015,3,1,1,64,11,1075216693
196285,3,1,1,65,6,1091338549
196437,3,1,1,65,7,1091469621
196573,3,1,1,65,8,1091600693
196695,3,1,1,65,9,1091731765
196796,3,1,1,65,10,1091862837
196856,3,1,1,65,11,1091993909
202878,3,1,1,68,0,1140883765
203546,3,1,1,68,1,1141014837
204069,3,1,1,68,2,1141145909
204408,3,1,1,68,3,1141276981
204719,3,1,1,68,4,1141408053
204874,3,1,1,68,5,1141539125
205035,3,1,1,68,6,1141670197
205861,3,1,1,69,0,1157660981
206554,3,1,1,69,1,1157792053
207101,3,1,1,69,2,1157923125
207460,3,1,1,69,3,1158054197
207774,3,1,1,69,4,1158185269
207933,3,1,1,69,5,1158316341
208096,3,1,1,69,6,1158447413
208403,3,1,1,69,8,1158709557
208530,3,1,1,69,9,1158840629
208643,3,1,1,69,10,1158971701
208721,3,1,1,69,11,1159102773
208937,3,1,1,70,0,1174438197
209625,3,1,1,70,1,1174569269
210170,3,1,1,70,2,1174700341
210535,3,1,1,70,3,1174831413
210854,3,1,1,70,4,1174962485
211016,3,1,1,70,5,1175093557
211174,3,1,1,70,6,1175224629
211335,3,1,1,70,7,1175355701
211473,3,1,1,70,8,1175486773
211596,3,1,1,70,9,1175617845
211709,3,1,1,70,10,1175748917
211788,3,1,1,70,11,1175879989
212004,3,1,1,71,0,1191215413
212688,3,1,1,71,1,1191346485
213228,3,1,1,71,2,1191477557
213594,3,1,1,71,3,1191608629
213911,3,1,1,71,4,1191739701
214068,3,1,1,71,5,1191870773
214224,3,1,1,71,6,1192001845
214385,3,1,1,71,7,1192132917
214521,3,1,1,71,8,1192263989
214645,3,1,1,71,9,1192395061
214759,3,1,1,71,10,1192526133
214839,3,1,1,71,11,1192657205
215069,3,1,1,72,0,1207992629
215777,3,1,1,72,1,1208123701
216331,3,1,1,72,2,1208254773
216708,3,1,1,72,3,1208385845
217028,3,1,1,72,4,1208516917
217188,3,1,1,72,5,1208647989
217347,3,1,1,72,6,1208779061
217512,3,1,1,72,7,1208910133
217658,3,1,1,72,8,1209041205
217789,3,1,1,72,9,1209172277
217906,3,1,1,72,10,1209303349
217988,3,1,1,72,11,1209434421
218215,3,1,1,73,0,1224769845
218902,3,1,1,73,1,1224900917
219438,3,1,1,73,2,1225031989
219809,3,1,1,73,3,1225163061
220127,3,1,1,73,4,1225294133
220288,3,1,1,73,5,1225425205
220445,3,1,1,73,6,1225556277
220608,3,1,1,73,7,1225687349
220750,3,1,1,73,8,1225818421
220881,3,1,1,73,9,1225949493
220991,3,1,1,73,10,1226080565
221066,3,1,1,73,11,1226211637
221290,3,1,1,74,0,1241547061
221996,3,1,1,74,1,1241678133
222528,3,1,1,74,2,1241809205
222894,3,1,1,74,3,1241940277
223206,3,1,1,74,4,1242071349
223370,3,1,1,74,5,1242202421
223528,3,1,1,74,6,1242333493
223686,3,1,1,74,7,1242464565
223828,3,1,1,74,8,1242595637
223957,3,1,1,74,9,1242726709
224060,3,1,1,74,10,1242857781
224129,3,1,1,74,11,1242988853
225905,3,1,1,75,3,1258717493
226214,3,1,1,75,4,1258848565
226374,3,1,1,75,5,1258979637
226534,3,1,1,75,6,1259110709
226689,3,1,1,75,7,1259241781
226828,3,1,1,75,8,1259372853
226955,3,1,1,75,9,1259503925
227047,3,1,1,75,10,1259634997
227108,3,1,1,75,11,1259766069
228924,3,1,1,76,3,1275494709
229242,3,1,1,76,4,1275625781
229406,3,1,1,76,5,1275756853
229571,3,1,1,76,6,1275887925
229728,3,1,1,76,7,1276018997
229871,3,1,1,76,8,1276150069
230001,3,1,1,76,9,1276281141
230100,3,1,1,76,10,1276412213
230165,3,1,1,76,11,1276543285
231885,3,1,1,77,3,1292271925
232177,3,1,1,77,4,1292402997
232331,3,1,1,77,5,1292534069
232484,3,1,1,77,6,1292665141
232629,3,1,1,77,7,1292796213
232762,3,1,1,77,8,1292927285
232880,3,1,1,77,9,1293058357
232969,3,1,1,77,10,1293189429
233027,3,1,1,77,11,1293320501
234651,3,1,1,78,3,1309049141
234926,3,1,1,78,4,1309180213
235066,3,1,1,78,5,1309311285
235206,3,1,1,78,6,1309442357
235337,3,1,1,78,7,1309573429
235455,3,1,1,78,8,1309704501
235562,3,1,1,78,9,1309835573
235639,3,1,1,78,10,1309966645
235689,3,1,1,78,11,1310097717
237198,3,1,1,79,3,1325826357
237444,3,1,1,79,4,1325957429
237559,3,1,1,79,5,1326088501
237674,3,1,1,79,6,1326219573
237780,3,1,1,79,7,1326350645
237875,3,1,1,79,8,1326481717
237964,3,1,1,79,9,1326612789
238028,3,1,1,79,10,1326743861
238067,3,1,1,79,11,1326874933
