iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
116,3,1,1,0,0,33077
557,3,1,1,0,1,164149
910,3,1,1,0,2,295221
2125,3,1,1,1,0,16810293
2665,3,1,1,1,1,16941365
3093,3,1,1,1,2,17072437
4514,3,1,1,2,0,33587509
5125,3,1,1,2,1,33718581
5610,3,1,1,2,2,33849653
7197,3,1,1,3,0,50364725
7873,3,1,1,3,1,50495797
8411,3,1,1,3,2,50626869
10136,3,1,1,4,0,67141941
10826,3,1,1,4,1,67273013
11373,3,1,1,4,2,67404085
11726,3,1,1,4,3,67535157
12029,3,1,1,4,4,67666229
12179,3,1,1,4,5,67797301
12330,3,1,1,4,6,67928373
12486,3,1,1,4,7,68059445
12621,3,1,1,4,8,68190517
12732,3,1,1,4,9,68321589
13114,3,1,1,5,0,83919157
13791,3,1,1,5,1,84050229
14325,3,1,1,5,2,84181301
14669,3,1,1,5,3,84312373
14967,3,1,1,5,4,84443445
15115,3,1,1,5,5,84574517
15265,3,1,1,5,6,84705589
15415,3,1,1,5,7,84836661
15544,3,1,1,5,8,84967733
15653,3,1,1,5,9,85098805
17530,3,1,1,6,3,101089589
17818,3,1,1,6,4,101220661
17963,3,1,1,6,5,101351733
18112,3,1,1,6,6,101482805
18259,3,1,1,6,7,101613877
18387,3,1,1,6,8,101744949
18492,3,1,1,6,9,101876021
18861,3,1,1,7,0,117473589
19524,3,1,1,7,1,117604661
20054,3,1,1,7,2,117735733
20402,3,1,1,7,3,117866805
20712,3,1,1,7,4,117997877
20860,3,1,1,7,5,118128949
21010,3,1,1,7,6,118260021
21158,3,1,1,7,7,118391093
21283,3,1,1,7,8,118522165
21383,3,1,1,7,9,118653237
21743,3,1,1,8,0,134250805
22388,3,1,1,8,1,134381877
22903,3,1,1,8,2,134512949
23251,3,1,1,8,3,134644021
23564,3,1,1,8,4,134775093
23708,3,1,1,8,5,134906165
23853,3,1,1,8,6,135037237
24004,3,1,1,8,7,135168309
24132,3,1,1,8,8,135299381
24244,3,1,1,8,9,135430453
24617,3,1,1,9,0,151028021
25248,3,1,1,9,1,151159093
25759,3,1,1,9,2,151290165
26107,3,1,1,9,3,151421237
26418,3,1,1,9,4,151552309
26568,3,1,1,9,5,151683381
26717,3,1,1,9,6,151814453
26874,3,1,1,9,7,151945525
27006,3,1,1,9,8,152076597
27117,3,1,1,9,9,152207669
27489,3,1,1,10,0,167805237
28123,3,1,1,10,1,167936309
28645,3,1,1,10,2,168067381
28999,3,1,1,10,3,168198453
29311,3,1,1,10,4,168329525
29458,3,1,1,10,5,168460597
29605,3,1,1,10,6,168591669
29762,3,1,1,10,7,168722741
29895,3,1,1,10,8,168853813
30005,3,1,1,10,9,168984885
30367,3,1,1,11,0,184582453
30993,3,1,1,11,1,184713525
31507,3,1,1,11,2,184844597
31848,3,1,1,11,3,184975669
32156,3,1,1,11,4,185106741
33196,3,1,1,12,0,201359669
33832,3,1,1,12,1,201490741
34345,3,1,1,12,2,201621813
34686,3,1,1,12,3,201752885
34998,3,1,1,12,4,201883957
36068,3,1,1,13,0,218136885
36732,3,1,1,13,1,218267957
37260,3,1,1,13,2,218399029
37609,3,1,1,13,3,218530101
37921,3,1,1,13,4,218661173
50972,3,1,1,17,10,286556469
51036,3,1,1,17,11,286687541
54126,3,1,1,18,10,303333685
54193,3,1,1,18,11,303464757
57269,3,1,1,19,10,320110901
57336,3,1,1,19,11,320241973
60287,3,1,1,20,9,336757045
60388,3,1,1,20,10,336888117
60452,3,1,1,20,11,337019189
63383,3,1,1,21,9,353534261
63491,3,1,1,21,10,353665333
63556,3,1,1,21,11,353796405
66493,3,1,1,22,9,370311477
66608,3,1,1,22,10,370442549
66680,3,1,1,22,11,370573621
69683,3,1,1,23,9,387088693
69802,3,1,1,23,10,387219765
69875,3,1,1,23,11,387350837
72838,3,1,1,24,9,403865909
72954,3,1,1,24,10,403996981
73028,3,1,1,24,11,404128053
74530,3,1,1,25,2,419725621
74904,3,1,1,25,3,419856693
75233,3,1,1,25,4,419987765
75405,3,1,1,25,5,420118837
75574,3,1,1,25,6,420249909
75737,3,1,1,25,7,420380981
75878,3,1,1,25,8,420512053
76003,3,1,1,25,9,420643125
76118,3,1,1,25,10,420774197
76193,3,1,1,25,11,420905269
77696,3,1,1,26,2,436502837
78067,3,1,1,26,3,436633909
78400,3,1,1,26,4,436764981
78574,3,1,1,26,5,436896053
78747,3,1,1,26,6,437027125
78910,3,1,1,26,7,437158197
79054,3,1,1,26,8,437289269
79176,3,1,1,26,9,437420341
79281,3,1,1,26,10,437551413
79352,3,1,1,26,11,437682485
80868,3,1,1,27,2,453280053
81252,3,1,1,27,3,453411125
81593,3,1,1,27,4,453542197
81765,3,1,1,27,5,453673269
81935,3,1,1,27,6,453804341
82096,3,1,1,27,7,453935413
82239,3,1,1,27,8,454066485
84006,3,1,1,28,2,470057269
84377,3,1,1,28,3,470188341
84707,3,1,1,28,4,470319413
84872,3,1,1,28,5,470450485
85040,3,1,1,28,6,470581557
85200,3,1,1,28,7,470712629
85346,3,1,1,28,8,470843701
87132,3,1,1,29,2,486834485
87497,3,1,1,29,3,486965557
87829,3,1,1,29,4,487096629
