iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
0,3,0,0,0,0,53
2,3,1,0,0,0,309
102,3,1,1,0,0,33077
2074,3,1,1,1,0,16810293
4454,3,1,1,2,0,33587509
7102,3,1,1,3,0,50364725
9829,3,1,1,3,11,51806517
12773,3,1,1,4,11,68583733
15716,3,1,1,5,11,85360949
18703,3,1,1,6,11,102138165
21645,3,1,1,7,11,118915381
24597,3,1,1,8,11,135692597
27607,3,1,1,9,11,152469813
45254,3,1,1,15,5,252346677
45408,3,1,1,15,6,252477749
45559,3,1,1,15,7,252608821
45701,3,1,1,15,8,252739893
45830,3,1,1,15,9,252870965
45943,3,1,1,15,10,253002037
46017,3,1,1,15,11,253133109
46231,3,1,1,16,0,268468533
48353,3,1,1,16,5,269123893
48513,3,1,1,16,6,269254965
48677,3,1,1,16,7,269386037
48828,3,1,1,16,8,269517109
48957,3,1,1,16,9,269648181
49066,3,1,1,16,10,269779253
49140,3,1,1,16,11,269910325
49355,3,1,1,17,0,285245749
51443,3,1,1,17,5,285901109
51596,3,1,1,17,6,286032181
51754,3,1,1,17,7,286163253
51899,3,1,1,17,8,286294325
52027,3,1,1,17,9,286425397
52139,3,1,1,17,10,286556469
52214,3,1,1,17,11,286687541
52441,3,1,1,18,0,302022965
54573,3,1,1,18,5,302678325
54731,3,1,1,18,6,302809397
54894,3,1,1,18,7,302940469
55047,3,1,1,18,8,303071541
55176,3,1,1,18,9,303202613
55289,3,1,1,18,10,303333685
55362,3,1,1,18,11,303464757
55584,3,1,1,19,0,318800181
57704,3,1,1,19,5,319455541
57865,3,1,1,19,6,319586613
58027,3,1,1,19,7,319717685
58177,3,1,1,19,8,319848757
58301,3,1,1,19,9,319979829
58411,3,1,1,19,10,320110901
58484,3,1,1,19,11,320241973
58702,3,1,1,20,0,335577397
60794,3,1,1,20,5,336232757
60952,3,1,1,20,6,336363829
61109,3,1,1,20,7,336494901
61251,3,1,1,20,8,336625973
61366,3,1,1,20,9,336757045
61471,3,1,1,20,10,336888117
61541,3,1,1,20,11,337019189
61747,3,1,1,21,0,352354613
63831,3,1,1,21,5,353009973
63986,3,1,1,21,6,353141045
64147,3,1,1,21,7,353272117
64292,3,1,1,21,8,353403189
64408,3,1,1,21,9,353534261
64512,3,1,1,21,10,353665333
64586,3,1,1,21,11,353796405
64783,3,1,1,22,0,369131829
66780,3,1,1,22,5,369787189
66936,3,1,1,22,6,369918261
67095,3,1,1,22,7,370049333
67235,3,1,1,22,8,370180405
67349,3,1,1,22,9,370311477
67446,3,1,1,22,10,370442549
67517,3,1,1,22,11,370573621
67722,3,1,1,23,0,385909045
69692,3,1,1,23,5,386564405
69846,3,1,1,23,6,386695477
69995,3,1,1,23,7,386826549
70128,3,1,1,23,8,386957621
70243,3,1,1,23,9,387088693
70345,3,1,1,23,10,387219765
70415,3,1,1,23,11,387350837
70622,3,1,1,24,0,402686261
96907,3,1,1,33,0,553681205
